secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,59,Benito Juarez,00440,1,203,1,19,173,6,4
2,59,Benito Juarez,00441,1,181,4,28,97,12,40
2,60,Junin,00444,204,71025,1784,10780,25050,17776,15635
2,60,Junin,00445,14,4864,101,576,1738,1247,1202
2,60,Junin,00446,11,3220,41,436,1395,722,626
2,60,Junin,00447,7,2108,48,349,763,527,421
2,60,Junin,00449,1,43,0,10,21,11,1
2,60,Junin,00450,3,880,10,129,306,311,124
2,60,Junin,00451,3,1003,20,152,330,327,174
2,60,Junin,00452,2,414,12,56,110,116,120
2,60,Junin,00453,1,28,5,4,9,6,4
2,60,Junin,00454,1,101,0,21,34,24,22
2,60,Junin,00456,1,264,4,42,99,92,27
2,61,La Matanza,00626,145,50733,1228,13548,15663,7217,13077
2,61,La Matanza,00627,61,22502,332,4474,10460,2426,4810
2,61,La Matanza,00628,157,55939,1079,16742,20836,7313,9969
2,61,La Matanza,00629,97,34524,546,5407,13078,3953,11540
2,61,La Matanza,00630,98,34272,843,9174,11492,4954,7809
2,61,La Matanza,00631,97,35216,675,6521,15164,4025,8831
2,61,La Matanza,00632,34,11854,195,3015,4076,1506,3062
2,61,La Matanza,00633,211,78964,1223,13888,40480,7675,15698
2,61,La Matanza,00634,83,28732,510,6303,10313,3476,8130
2,61,La Matanza,00635,324,115520,1520,13136,51224,9734,39906
2,61,La Matanza,0626A,109,38005,744,8517,12468,5188,11088
2,61,La Matanza,0629A,155,54071,891,8974,17942,6178,20086
